symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,perChange365d,perChange30d
EPL,EPLEQN,185.05,186,179.5,181.7,185.05,-3.35,-1.81,236.15,147,846225,153843705,25-Oct-2023 15:59:25,15.66,-3.85
GODFRYPHLP,GODFRYPHLPEQN,2107.85,2198,2032.3,2064.95,2103.2,-38.25,-1.82,2357.8,1432,69682,145443057.67999998,25-Oct-2023 15:49:31,44.96,2.42
GPPL,GPPLEQN,124.55,126.4,119.15,120.55,122.8,-2.25,-1.83,142.8,82.1,2491343,304990210.06,25-Oct-2023 15:58:19,47.68,-2.81
GALAXYSURF,GALAXYSURFEQN,2640.8,2696.75,2574,2614.45,2665,-50.55,-1.9,3010,2221.6,20801,54658163.67,25-Oct-2023 15:50:02,-8.58,2.24
JINDALSAW,JINDALSAWEQN,372.8,378.5,349.9,357.65,365.3,-7.65,-2.09,406.9,77.45,1999620,733880536.1999999,25-Oct-2023 15:58:39,355.77,5.55
KIMS,KIMSEQN,1889.9,1896.95,1825.25,1835,1874.85,-39.85,-2.13,2229.9,1282,54132,99878953.19999999,25-Oct-2023 15:59:19,31.59,-5.93
NETWORK18,NETWORK18EQN,71.45,71.8,66.7,68.5,70,-1.5,-2.14,82.5,45,5435671,375604866.09999996,25-Oct-2023 15:59:19,9.12,2.87
WELCORP,WELCORPEQN,415,419.95,390,403,411.9,-8.9,-2.16,457.3,177.65,1550791,621758635.63,25-Oct-2023 15:54:13,81.89,5.89
VARROC,VARROCEQN,465,475.45,444,453,463.25,-10.25,-2.21,519.75,239.45,270422,123704543.89999999,25-Oct-2023 15:58:03,50.02,-3.98
LAXMIMACH,LAXMIMACHEQN,14000,14062.4,13400,13670,13988.8,-318.8,-2.28,15499.9,9806.5,2852,39330448.96,25-Oct-2023 15:59:44,9.56,-5.88
CENTURYPLY,CENTURYPLYEQN,635.95,636,608.5,614.8,629.3,-14.5,-2.3,722.1,436,145659,90082808.55000001,25-Oct-2023 15:55:34,-0.99,-1.58
ENGINERSIN,ENGINERSINEQN,128,130.2,121.45,124.1,127.1,-3,-2.36,167.3,64.1,3512348,441537267.08,25-Oct-2023 15:56:27,94.79,-11.83
ALLCARGO,ALLCARGOEQN,259,266,249.45,252.8,258.95,-6.15,-2.37,495,247.2,292550,74541740,25-Oct-2023 15:59:55,-38.43,-2.3
AVANTIFEED,AVANTIFEEDEQN,413,413,388.1,392.8,402.6,-9.8,-2.43,487.95,321.1,204482,81297953.56,25-Oct-2023 15:56:04,-13.57,-7.53
SHARDACROP,SHARDACROPEQN,420.05,424.7,408,411.65,422.55,-10.9,-2.58,580,368.55,90982,37791193.34,25-Oct-2023 15:59:44,-2.76,-2.56
INDIGOPNTS,INDIGOPNTSEQN,1430,1510.2,1360,1393,1431.35,-38.35,-2.68,1688,981.95,282232,398841795.44,25-Oct-2023 15:59:05,-2.23,-7.6
JKPAPER,JKPAPEREQN,379.5,385.7,365.05,368.7,379.05,-10.35,-2.73,453.2,306.4,642537,241073457.03,25-Oct-2023 15:59:51,-1.69,-0.97
HOMEFIRST,HOMEFIRSTEQN,932,950,881.25,888.5,913.9,-25.4,-2.78,984.8,652,176046,157768904.28,25-Oct-2023 15:56:03,19.57,9.58
CHOLAHLDNG,CHOLAHLDNGEQN,1080,1149,1075.75,1085,1116.1,-31.1,-2.79,1296,511.3,143966,160044122.88,25-Oct-2023 15:59:20,78.35,-6.55
PRINCEPIPE,PRINCEPIPEEQN,650.3,656.65,628.15,632,650.3,-18.3,-2.81,760,510,156223,99926479.72,25-Oct-2023 15:59:04,15.17,-6.12
